(Indicator name),(Definition),(Citation)
"Drug-induced mortality (count of deaths), 2015-2019","Number of people who died due to poisoning and medical conditions caused by use of legal or illegal drugs or deaths from poisoning due to medically prescribed and other drugs. It excludes unintentional injuries, homicides, and other causes indirectly related to drug use, as well as newborn deaths due to the mother’s drug use.","Illinois Department of Public Health, Death Certificate Data Files"
"Drug-induced mortality rate (per 100,000 population), 2015-2019",Age-adjusted rate of people who died due to poisoning and medical conditions caused by use of legal or illegal drugs or from poisoning due to medically prescribed and other drugs.,"Illinois Department of Public Health, Death Certificate Data Files"
"Drug overdose mortality (count of deaths), 2015-2019",Number of people who died due to drug overdose.,"Illinois Department of Public Health, Death Certificate Data Files"
"Drug overdose mortality rate (per 100,000 population), 2015-2019",Age-adjusted rate of people who died due to drug overdose.,"Illinois Department of Public Health, Death Certificate Data Files"
"Population (residents), 2017-2021",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population (residents), 2016-2020",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population, Infants (0-4 years) (residents), 2017-2021",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population, Infants (0-4 years) (residents), 2016-2020",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population, Juveniles (5-17 years) (residents), 2017-2021",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population, Juveniles (5-17 years) (residents), 2016-2020",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population, Non-Hispanic Black (residents), 2017-2021",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population, Non-Hispanic Black (residents), 2016-2020",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population, Hispanic or Latino (residents), 2017-2021",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
"Population, Hispanic or Latino (residents), 2016-2020",Average population over the time period.,American Community Survey (ACS: Table B01001; Decennial Census: Table P012)
