,School ID,School Name,School Network,School Year,Time Period,"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",% of Unique Students Receiving ISS,% of Unique Students Receiving OSS,% of Misconducts Resulting in a Police Notification
38,610513,AIR FORCE HS,Military,2013-2014,EOY,67.5,6.2,23.4,3.9
40,610513,AIR FORCE HS,Service Leadership Academies,2014-2015,EOY,12.6,10.0,16.4,1.4
42,610513,AIR FORCE HS,Service Leadership Academies,2015-2016,EOY,23.2,9.2,10.5,6.1
44,610513,AIR FORCE HS,Network 6,2016-2017,EOY,56.4,6.0,11.0,3.4
46,610513,AIR FORCE HS,Network 6,2017-2018,EOY,61.7,13.1,4.9,7.4
48,610513,AIR FORCE HS,Network 16,2018-2019,EOY,45.2,5.6,3.6,7.1
50,610513,AIR FORCE HS,Network 16,2019-2020,EOY,16.3,3.1,0.5,0.0
52,610513,AIR FORCE HS,Network 16,2021-2022,EOY,23.6,5.4,1.2,0.0
85,610524,ALCOTT HS,Network 4,2013-2014,EOY,74.1,7.0,10.3,1.2
87,610524,ALCOTT HS,Network 4,2014-2015,EOY,105.9,6.4,6.0,0.0
89,610524,ALCOTT HS,Network 4,2015-2016,EOY,96.0,15.1,6.9,2.0
91,610524,ALCOTT HS,Network 4,2016-2017,EOY,69.0,2.5,1.9,3.4
93,610524,ALCOTT HS,Network 4,2017-2018,EOY,24.5,16.0,3.7,0.0
95,610524,ALCOTT HS,Network 4,2018-2019,EOY,52.2,12.3,3.2,0.7
97,610524,ALCOTT HS,Network 15,2019-2020,EOY,97.5,9.9,7.3,2.5
99,610524,ALCOTT HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
101,610524,ALCOTT HS,Network 15,2021-2022,EOY,47.4,4.9,13.7,0.0
124,609780,AMES,Network 4,2013-2014,EOY,51.9,1.5,11.2,0.4
126,609695,AMUNDSEN HS,Network 2,2013-2014,EOY,63.8,4.8,5.6,39.6
128,609695,AMUNDSEN HS,Network 2,2014-2015,EOY,85.6,23.1,7.0,12.5
130,609695,AMUNDSEN HS,Network 2,2015-2016,EOY,63.0,8.5,4.4,19.6
132,609695,AMUNDSEN HS,Network 2,2016-2017,EOY,77.9,13.9,5.4,12.0
134,609695,AMUNDSEN HS,ISP,2017-2018,EOY,86.4,7.4,4.8,29.0
136,609695,AMUNDSEN HS,ISP,2018-2019,EOY,96.5,13.2,4.6,8.0
138,609695,AMUNDSEN HS,ISP,2019-2020,EOY,77.3,5.9,1.8,14.8
140,609695,AMUNDSEN HS,ISP,2021-2022,EOY,43.3,4.0,1.8,1.9
254,610518,AUSTIN CCA HS,Network 3,2016-2017,EOY,12.4,2.3,13.9,7.2
256,610518,AUSTIN CCA HS,Network 3,2017-2018,EOY,68.5,58.5,10.6,8.1
258,610518,AUSTIN CCA HS,Network 15,2018-2019,EOY,58.3,36.3,19.4,3.8
260,610518,AUSTIN CCA HS,Network 15,2019-2020,EOY,49.2,5.0,13.3,4.2
262,610518,AUSTIN CCA HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
264,610518,AUSTIN CCA HS,Network 15,2021-2022,EOY,42.5,13.3,13.3,3.7
314,610563,BACK OF THE YARDS HS,Network 8,2013-2014,EOY,100.0,1.8,2.2,9.1
316,610563,BACK OF THE YARDS HS,Network 8,2014-2015,EOY,96.0,0.6,3.5,28.0
318,610563,BACK OF THE YARDS HS,Network 8,2015-2016,EOY,68.5,0.3,4.1,1.9
320,610563,BACK OF THE YARDS HS,Network 8,2016-2017,EOY,75.4,0.1,3.8,5.3
322,610563,BACK OF THE YARDS HS,ISP,2017-2018,EOY,56.1,0.1,4.4,0.0
324,610563,BACK OF THE YARDS HS,ISP,2018-2019,EOY,37.3,0.0,3.1,0.0
326,610563,BACK OF THE YARDS HS,ISP,2019-2020,EOY,3.6,0.0,0.1,3.6
328,610563,BACK OF THE YARDS HS,ISP,2021-2022,EOY,93.6,0.0,3.5,8.5
587,609698,BOGAN HS,OS4,2013-2014,EOY,97.1,45.7,23.1,0.4
589,609698,BOGAN HS,OS4,2014-2015,EOY,88.5,26.5,10.5,0.8
591,609698,BOGAN HS,Network 10,2015-2016,EOY,89.7,29.9,11.0,0.2
593,609698,BOGAN HS,Network 10,2016-2017,EOY,85.0,26.4,10.2,0.4
595,609698,BOGAN HS,Network 10,2017-2018,EOY,79.5,14.5,11.4,4.0
597,609698,BOGAN HS,Network 16,2018-2019,EOY,48.3,5.1,13.4,0.5
599,609698,BOGAN HS,Network 16,2019-2020,EOY,30.2,1.9,9.8,9.7
601,609698,BOGAN HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
603,609698,BOGAN HS,Network 16,2021-2022,EOY,34.6,8.5,19.4,2.2
657,610323,BOWEN HS,OS4,2013-2014,EOY,105.4,83.8,64.7,1.8
659,610323,BOWEN HS,OS4,2014-2015,EOY,102.7,97.5,43.1,1.9
661,610323,BOWEN HS,Network 12,2015-2016,EOY,92.2,96.3,41.4,0.7
663,610323,BOWEN HS,Network 12,2016-2017,EOY,96.2,73.8,14.4,0.3
665,610323,BOWEN HS,Network 12,2017-2018,EOY,89.7,74.9,13.7,1.0
667,610323,BOWEN HS,Network 17,2018-2019,EOY,81.1,57.8,5.9,0.6
669,610323,BOWEN HS,Network 17,2019-2020,EOY,51.6,13.2,3.0,5.4
671,610323,BOWEN HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
673,610323,BOWEN HS,Network 17,2021-2022,EOY,46.0,14.6,6.8,8.8
795,610381,BRONZEVILLE HS,OS4,2013-2014,EOY,89.6,24.1,36.7,1.4
797,610381,BRONZEVILLE HS,OS4,2014-2015,EOY,86.9,25.9,23.7,0.6
799,610381,BRONZEVILLE HS,Network 9,2015-2016,EOY,92.3,43.6,16.2,6.5
801,610381,BRONZEVILLE HS,Network 9,2016-2017,EOY,87.4,12.8,29.2,7.4
803,610381,BRONZEVILLE HS,Network 9,2017-2018,EOY,58.8,15.5,20.8,11.7
805,610381,BRONZEVILLE HS,Network 17,2018-2019,EOY,76.1,35.8,38.2,3.9
807,610381,BRONZEVILLE HS,Network 17,2019-2020,EOY,47.0,10.8,11.7,4.5
809,610381,BRONZEVILLE HS,Network 17,2021-2022,EOY,46.2,1.6,6.5,0.0
812,609726,BROOKS HS,Network 13,2013-2014,EOY,25.8,0.1,4.4,2.6
814,609726,BROOKS HS,Network 13,2014-2015,EOY,13.5,3.1,2.7,0.0
816,609726,BROOKS HS,ISP,2015-2016,EOY,31.1,7.7,5.2,0.7
818,609726,BROOKS HS,Network 13,2016-2017,EOY,30.2,3.7,3.6,0.0
820,609726,BROOKS HS,Network 13,2017-2018,EOY,81.9,5.0,3.1,0.0
822,609726,BROOKS HS,Network 17,2018-2019,EOY,77.3,3.5,3.5,0.9
824,609726,BROOKS HS,Network 17,2019-2020,EOY,35.9,2.0,2.0,0.9
825,609726,BROOKS HS,ISP,2020-2021,EOY,0.0,0.0,0.0,0.0
827,609726,BROOKS HS,ISP,2021-2022,EOY,33.8,0.4,1.9,15.5
1059,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2016-2017,EOY,0.0,0.0,0.0,0.0
1061,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2018-2019,EOY,33.3,0.0,0.5,0.0
1063,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,2019-2020,EOY,100.0,0.0,0.4,0.0
1065,400147,CAMELOT - EXCEL HS,Options,2017-2018,EOY,0.0,0.0,0.0,0.0
1066,400147,CAMELOT - EXCEL HS,Options,2018-2019,EOY,0.0,0.0,0.0,33.3
1068,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2016-2017,EOY,0.0,0.0,0.0,3.8
1070,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2017-2018,EOY,0.0,0.0,0.0,0.0
1072,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2018-2019,EOY,0.0,0.0,0.0,0.0
1074,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,2019-2020,EOY,0.0,0.0,0.0,0.0
1076,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2016-2017,EOY,100.0,0.0,5.8,12.5
1077,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2017-2018,EOY,66.7,4.6,2.8,8.3
1079,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2018-2019,EOY,0.0,0.0,0.0,0.0
1081,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2019-2020,EOY,75.9,1.0,20.8,34.5
1082,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,2020-2021,EOY,0.0,0.0,0.0,0.0
1094,610573,CAMELOT SAFE ACADEMY HS,Options,2013-2014,EOY,20.0,0.0,9.4,0.0
1096,610573,CAMELOT SAFE ACADEMY HS,Options,2014-2015,EOY,0.0,0.0,0.0,0.0
1101,610573,CAMELOT SAFE HS,Options,2015-2016,EOY,0.0,0.0,0.0,0.0
1103,610573,CAMELOT SAFE HS,Options,2016-2017,EOY,0.0,0.0,0.0,0.0
1261,609760,CARVER MILITARY,Military,2013-2014,EOY,74.2,10.5,9.8,0.6
1263,609760,CARVER MILITARY,Service Leadership Academies,2014-2015,EOY,98.7,8.5,4.0,1.3
1265,609760,CARVER MILITARY HS,Service Leadership Academies,2015-2016,EOY,68.2,5.2,5.0,14.8
1267,609760,CARVER MILITARY HS,Network 6,2016-2017,EOY,93.4,5.9,4.3,0.0
1269,609760,CARVER MILITARY HS,Network 6,2017-2018,EOY,111.1,3.2,5.1,11.1
1271,609760,CARVER MILITARY HS,Network 17,2018-2019,EOY,134.2,11.0,9.7,6.0
1273,609760,CARVER MILITARY HS,Network 17,2019-2020,EOY,86.1,5.9,5.0,16.7
1275,609760,CARVER MILITARY HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
1277,609760,CARVER MILITARY HS,Network 17,2021-2022,EOY,80.0,10.7,6.5,10.0
1426,610340,CHGO ACAD HS,AUSL,2013-2014,EOY,98.7,1.2,8.7,0.0
1428,610340,CHGO ACAD HS,AUSL,2014-2015,EOY,101.0,21.8,7.5,0.0
1430,609753,CHGO AGR HS,Network 10,2013-2014,EOY,98.9,29.8,10.4,0.2
1432,609753,CHGO AGR HS,Network 10,2014-2015,EOY,23.3,0.0,2.1,5.5
1434,400022,CHGO ARTS CONTR HS,Contract,2013-2014,EOY,61.7,2.1,9.7,5.3
1438,609754,CHGO MILITARY ACAD HS,Military,2013-2014,EOY,80.9,40.2,44.8,0.5
1440,609754,CHGO MILITARY ACAD HS,Service Leadership Academies,2014-2015,EOY,7.0,0.3,29.4,0.8
1442,400022,CHIARTS HS,Contract,2017-2018,EOY,23.8,0.0,4.6,0.6
1444,400022,CHIARTS HS,Contract,2018-2019,EOY,41.4,1.5,2.8,1.4
1446,400022,CHIARTS HS,Contract,2019-2020,EOY,32.1,2.8,1.0,7.1
1448,400022,CHIARTS HS,Contract,2020-2021,EOY,0.0,0.0,0.0,0.0
1450,400022,CHIARTS HS,Contract,2021-2022,EOY,66.7,0.0,2.5,12.5
1465,610340,CHICAGO ACADEMY HS,AUSL,2015-2016,EOY,37.5,40.2,6.4,0.1
1467,610340,CHICAGO ACADEMY HS,AUSL,2016-2017,EOY,53.4,7.5,5.4,1.2
1469,610340,CHICAGO ACADEMY HS,AUSL,2017-2018,EOY,18.6,18.8,3.7,0.2
1471,610340,CHICAGO ACADEMY HS,AUSL,2018-2019,EOY,62.3,36.3,0.7,0.0
1473,610340,CHICAGO ACADEMY HS,AUSL,2019-2020,EOY,22.3,5.9,0.2,0.0
1475,610340,CHICAGO ACADEMY HS,AUSL,2020-2021,EOY,0.0,0.0,0.0,0.0
1477,610340,CHICAGO ACADEMY HS,AUSL,2021-2022,EOY,13.5,1.8,0.2,0.0
1479,609753,CHICAGO AGRICULTURE HS,Network 10,2015-2016,EOY,20.6,0.1,3.0,0.7
1481,609753,CHICAGO AGRICULTURE HS,ISP,2016-2017,EOY,32.3,1.3,2.6,0.0
1483,609753,CHICAGO AGRICULTURE HS,ISP,2017-2018,EOY,18.3,0.3,2.1,1.0
1485,609753,CHICAGO AGRICULTURE HS,ISP,2018-2019,EOY,14.0,0.4,0.8,1.2
1487,609753,CHICAGO AGRICULTURE HS,ISP,2019-2020,EOY,52.6,2.0,1.5,5.3
1488,609753,CHICAGO AGRICULTURE HS,ISP,2020-2021,EOY,60.0,0.0,0.2,0.0
1490,609753,CHICAGO AGRICULTURE HS,ISP,2021-2022,EOY,34.5,0.0,1.9,3.4
1492,400022,CHICAGO ARTS HS,Contract,2014-2015,EOY,33.7,0.0,7.8,3.3
1494,400022,CHICAGO ARTS HS,Contract,2015-2016,EOY,53.7,2.4,7.3,0.0
1496,400022,CHICAGO ARTS HS,Contract,2016-2017,EOY,47.2,1.5,6.4,1.6
1506,400147,CHICAGO EXCEL CONTR ACAD,Contract,2013-2014,EOY,66.7,0.0,1.8,8.3
1507,400147,CHICAGO EXCEL HS,Options,2021-2022,EOY,0.0,0.0,0.0,0.0
1517,609754,CHICAGO MILITARY HS,Service Leadership Academies,2015-2016,EOY,46.7,0.0,16.7,2.8
1519,609754,CHICAGO MILITARY HS,Network 6,2016-2017,EOY,54.5,1.0,15.0,0.0
1521,609754,CHICAGO MILITARY HS,Network 6,2017-2018,EOY,38.7,9.5,15.1,0.4
1523,609754,CHICAGO MILITARY HS,Network 17,2018-2019,EOY,62.7,17.6,10.2,0.0
1525,609754,CHICAGO MILITARY HS,Network 17,2019-2020,EOY,73.7,12.7,4.3,0.0
1527,609754,CHICAGO MILITARY HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
1529,609754,CHICAGO MILITARY HS,Network 17,2021-2022,EOY,24.5,13.1,11.0,0.9
1533,400091,CHICAGO TECH ACADEMY,Contract,2013-2014,EOY,74.5,13.5,20.5,0.5
1535,400091,CHICAGO TECH HS,Contract,2014-2015,EOY,99.4,11.0,21.3,0.0
1537,400091,CHICAGO TECH HS,Contract,2015-2016,EOY,94.8,16.1,20.3,0.0
1539,400091,CHICAGO TECH HS,Contract,2016-2017,EOY,25.7,1.9,7.2,0.0
1541,400091,CHICAGO TECH HS,Contract,2017-2018,EOY,38.1,0.0,14.0,1.0
1543,400091,CHICAGO TECH HS,Contract,2018-2019,EOY,30.1,0.0,9.3,4.8
1545,400091,CHICAGO TECH HS,Contract,2019-2020,EOY,0.0,0.0,0.0,0.0
1547,400091,CHICAGO TECH HS,Contract,2021-2022,EOY,65.4,0.3,3.8,11.5
1549,609674,CHICAGO VOCATIONAL HS,OS4,2013-2014,EOY,83.6,8.3,26.6,49.1
1551,609674,CHICAGO VOCATIONAL HS,OS4,2014-2015,EOY,57.9,3.6,13.7,53.4
1553,609674,CHICAGO VOCATIONAL HS,Network 12,2015-2016,EOY,67.2,0.3,14.4,78.9
1555,609674,CHICAGO VOCATIONAL HS,Network 12,2016-2017,EOY,56.2,1.4,15.8,60.9
1557,609674,CHICAGO VOCATIONAL HS,Network 12,2017-2018,EOY,103.0,7.7,11.6,30.5
1559,609674,CHICAGO VOCATIONAL HS,Network 17,2018-2019,EOY,91.2,6.6,12.4,18.0
1561,609674,CHICAGO VOCATIONAL HS,Network 17,2019-2020,EOY,49.2,2.5,11.2,33.3
1563,609674,CHICAGO VOCATIONAL HS,Network 17,2020-2021,EOY,100.0,0.0,0.1,0.0
1565,609674,CHICAGO VOCATIONAL HS,Network 17,2021-2022,EOY,57.9,0.0,11.4,16.3
1697,610244,CLARK HS,Network 3,2013-2014,EOY,100.0,1.0,26.6,0.9
1699,610244,CLARK HS,Network 3,2014-2015,EOY,99.4,13.1,35.8,2.5
1701,610244,CLARK HS,Network 3,2015-2016,EOY,97.9,7.5,33.8,1.2
1703,610244,CLARK HS,Network 3,2016-2017,EOY,77.2,14.4,14.8,1.7
1705,610244,CLARK HS,Network 3,2017-2018,EOY,98.5,11.6,25.6,9.2
1707,610244,CLARK HS,Network 15,2018-2019,EOY,88.4,27.4,7.0,5.6
1709,610244,CLARK HS,ISP,2019-2020,EOY,60.3,0.6,6.1,15.9
1711,610244,CLARK HS,ISP,2020-2021,EOY,0.0,0.0,0.0,0.0
1713,610244,CLARK HS,ISP,2021-2022,EOY,23.5,2.7,12.1,2.4
1736,609759,CLEMENTE HS,OS4,2013-2014,EOY,37.3,0.0,34.2,2.0
1738,609759,CLEMENTE HS,OS4,2014-2015,EOY,25.1,0.0,37.2,0.4
1740,609759,CLEMENTE HS,Network 5,2015-2016,EOY,21.8,0.0,41.9,1.0
1742,609759,CLEMENTE HS,ISP,2016-2017,EOY,18.4,0.0,34.3,0.3
1744,609759,CLEMENTE HS,Network 5,2017-2018,EOY,49.4,14.5,17.6,6.6
1746,609759,CLEMENTE HS,Network 15,2018-2019,EOY,65.0,20.4,24.2,5.8
1748,609759,CLEMENTE HS,Network 15,2019-2020,EOY,75.8,33.4,11.1,3.9
1750,609759,CLEMENTE HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,14.3
1752,609759,CLEMENTE HS,Network 15,2021-2022,EOY,41.3,7.7,21.1,1.8
1842,610499,COLLINS HS,AUSL,2013-2014,EOY,60.6,40.5,38.2,2.1
1844,610499,COLLINS HS,AUSL,2014-2015,EOY,43.7,1.5,33.6,24.6
1846,610499,COLLINS HS,AUSL,2015-2016,EOY,92.3,102.4,46.3,0.9
1848,610499,COLLINS HS,AUSL,2016-2017,EOY,90.4,66.4,33.4,0.5
1850,610499,COLLINS HS,AUSL,2017-2018,EOY,92.7,72.9,6.3,0.0
1852,610499,COLLINS HS,AUSL,2018-2019,EOY,97.2,88.1,7.5,0.0
1854,610499,COLLINS HS,AUSL,2019-2020,EOY,100.0,37.2,1.4,0.0
1856,610499,COLLINS HS,AUSL,2021-2022,EOY,71.4,0.4,1.7,0.0
1960,609761,CORLISS HS,Network 13,2013-2014,EOY,90.6,14.9,32.2,11.0
1962,609761,CORLISS HS,Network 13,2014-2015,EOY,39.6,5.6,15.7,35.0
1964,609761,CORLISS HS,Network 13,2015-2016,EOY,30.2,9.8,8.6,11.6
1966,609761,CORLISS HS,Network 13,2016-2017,EOY,44.8,11.1,20.2,22.0
1968,609761,CORLISS HS,Network 13,2017-2018,EOY,44.7,32.2,20.4,5.9
1970,609761,CORLISS HS,Network 17,2018-2019,EOY,59.1,36.8,31.0,2.6
1972,609761,CORLISS HS,Network 17,2019-2020,EOY,36.4,6.2,13.6,12.1
1974,609761,CORLISS HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
1976,609761,CORLISS HS,Network 17,2021-2022,EOY,18.3,0.0,25.0,1.7
2000,610561,CRANE MEDICAL HS,Network 6,2015-2016,EOY,44.2,0.0,8.0,1.0
2002,610561,CRANE MEDICAL HS,Network 6,2016-2017,EOY,28.6,7.1,8.7,1.1
2004,610561,CRANE MEDICAL HS,Network 6,2017-2018,EOY,75.8,19.1,13.0,3.0
2006,610561,CRANE MEDICAL HS,Network 15,2018-2019,EOY,52.9,5.9,11.6,12.6
2008,610561,CRANE MEDICAL HS,Network 15,2019-2020,EOY,46.6,0.7,8.1,14.8
2010,610561,CRANE MEDICAL HS,Network 15,2021-2022,EOY,43.8,18.0,23.3,3.0
2062,609756,CURIE HS,Network 8,2013-2014,EOY,45.9,27.1,13.7,6.5
2064,609756,CURIE HS,Network 8,2014-2015,EOY,15.2,4.0,6.7,5.3
2066,609756,CURIE HS,Network 8,2015-2016,EOY,44.0,3.4,6.4,4.5
2068,609756,CURIE HS,Network 8,2016-2017,EOY,47.3,2.5,6.4,2.7
2070,609756,CURIE HS,Network 8,2017-2018,EOY,48.7,4.2,5.1,1.4
2072,609756,CURIE HS,Network 15,2018-2019,EOY,76.2,2.8,7.7,1.0
2074,609756,CURIE HS,Network 15,2019-2020,EOY,53.0,2.0,4.0,4.3
2076,609756,CURIE HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,3.6
2078,609756,CURIE HS,Network 15,2021-2022,EOY,39.7,0.5,6.5,2.1
2284,610402,DEVRY HS,Network 4,2013-2014,EOY,58.3,1.0,4.2,4.2
2286,610402,DEVRY HS,Network 4,2014-2015,EOY,22.7,1.5,1.0,0.0
2288,610402,DEVRY HS,Network 4,2015-2016,EOY,50.0,1.5,0.0,0.0
2289,610402,DEVRY HS,Network 4,2016-2017,EOY,50.0,0.5,0.0,0.0
2291,610402,DEVRY HS,ISP,2017-2018,EOY,60.0,1.0,0.5,0.0
2293,610402,DEVRY HS,ISP,2018-2019,EOY,6.3,0.6,0.0,6.3
2295,610402,DEVRY HS,Network 14,2019-2020,EOY,6.7,0.7,0.0,0.0
2297,610402,DEVRY HS,Network 14,2021-2022,EOY,7.7,1.3,0.6,2.6
2368,610564,DISNEY II HS,ISP,2015-2016,EOY,46.1,11.3,10.1,1.6
2370,610564,DISNEY II HS,Network 1,2016-2017,EOY,67.1,5.5,7.5,1.8
2372,610564,DISNEY II HS,Network 1,2017-2018,EOY,85.7,11.4,5.0,3.7
2374,610564,DISNEY II HS,Network 14,2018-2019,EOY,100.7,10.4,3.9,0.7
2376,610564,DISNEY II HS,Network 14,2019-2020,EOY,105.6,3.3,0.9,2.8
2378,610564,DISNEY II HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,0.0
2380,610564,DISNEY II HS,Network 14,2021-2022,EOY,57.0,3.0,2.9,0.9
2382,610564,DISNEY II MAGNET HS,Network 1,2013-2014,EOY,95.5,3.7,3.3,0.0
2384,610564,DISNEY II MAGNET HS,Network 1,2014-2015,EOY,80.8,13.2,10.3,0.9
2445,610245,DOUGLASS HS,Network 3,2013-2014,EOY,34.7,0.4,79.4,0.5
2447,610245,DOUGLASS HS,Network 3,2014-2015,EOY,46.1,52.5,48.4,1.4
2449,610245,DOUGLASS HS,Network 3,2015-2016,EOY,35.0,58.1,74.0,0.2
2451,610245,DOUGLASS HS,Network 3,2016-2017,EOY,20.4,38.4,29.1,0.3
2453,610245,DOUGLASS HS,Network 3,2017-2018,EOY,43.9,0.0,39.7,30.1
2455,610245,DOUGLASS HS,Network 15,2018-2019,EOY,27.8,0.0,8.3,22.2
2457,610245,DOUGLASS HS,Network 15,2019-2020,EOY,68.8,0.0,16.8,50.0
2459,610245,DOUGLASS HS,Network 15,2021-2022,EOY,70.4,0.0,32.2,22.2
2531,609676,DUNBAR HS,Network 9,2013-2014,EOY,98.8,52.3,43.3,0.7
2533,609676,DUNBAR HS,Network 9,2014-2015,EOY,86.4,68.4,46.5,0.7
2535,609676,DUNBAR HS,Network 9,2015-2016,EOY,56.7,13.6,24.1,6.0
2537,609676,DUNBAR HS,Network 9,2016-2017,EOY,52.3,0.8,9.3,3.7
2539,609676,DUNBAR HS,Network 9,2017-2018,EOY,79.4,0.3,17.3,3.9
2541,609676,DUNBAR HS,Network 17,2018-2019,EOY,23.1,0.0,7.7,1.0
2543,609676,DUNBAR HS,Network 17,2019-2020,EOY,43.3,0.0,14.4,1.5
2545,609676,DUNBAR HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
2547,609676,DUNBAR HS,Network 17,2021-2022,EOY,19.1,0.2,3.7,26.1
2599,610587,DYETT ARTS HS,Network 9,2016-2017,EOY,90.5,1.4,37.6,19.0
2601,610587,DYETT ARTS HS,ISP,2017-2018,EOY,101.7,3.2,22.8,5.0
2603,610587,DYETT ARTS HS,ISP,2018-2019,EOY,73.0,0.0,20.4,5.7
2605,610587,DYETT ARTS HS,Network 17,2019-2020,EOY,71.4,5.4,8.6,0.6
2606,610587,DYETT ARTS HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
2608,610587,DYETT ARTS HS,Network 17,2021-2022,EOY,29.2,9.9,7.6,0.3
2759,610592,ENGLEWOOD STEM HS,Network 16,2019-2020,EOY,86.0,15.8,16.0,3.6
2761,610592,ENGLEWOOD STEM HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,3.6
2763,610592,ENGLEWOOD STEM HS,Network 16,2021-2022,EOY,47.6,15.6,38.0,4.4
2858,610565,EXCEL ENGLEWOOD HS,Options,2021-2022,EOY,0.0,0.0,0.0,0.0
2860,400176,EXCEL SOUTHWEST HS,Options,2021-2022,EOY,60.0,0.0,8.0,0.0
2932,609704,FARRAGUT HS,Network 7,2013-2014,EOY,74.0,50.3,18.4,0.4
2934,609704,FARRAGUT HS,Network 7,2014-2015,EOY,37.6,16.9,10.4,0.3
2936,609704,FARRAGUT HS,Network 7,2015-2016,EOY,11.7,0.0,12.4,0.8
2938,609704,FARRAGUT HS,Network 7,2016-2017,EOY,33.5,0.0,11.5,0.8
2940,609704,FARRAGUT HS,Network 7,2017-2018,EOY,28.2,0.0,5.3,0.5
2942,609704,FARRAGUT HS,Network 16,2018-2019,EOY,42.3,7.4,8.0,0.3
2944,609704,FARRAGUT HS,Network 16,2019-2020,EOY,11.1,2.0,4.0,0.9
2946,609704,FARRAGUT HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
2948,609704,FARRAGUT HS,Network 16,2021-2022,EOY,20.9,0.0,12.9,1.8
2950,609705,FENGER HS,Network 13,2013-2014,EOY,85.0,80.6,55.6,1.4
2952,609705,FENGER HS,Network 13,2014-2015,EOY,72.0,91.4,42.7,4.4
2954,609705,FENGER HS,Network 13,2015-2016,EOY,44.4,52.5,31.0,0.7
2956,609705,FENGER HS,Network 13,2016-2017,EOY,60.0,66.6,29.5,1.5
2958,609705,FENGER HS,Network 13,2017-2018,EOY,55.9,71.0,18.5,0.1
2960,609705,FENGER HS,Network 17,2018-2019,EOY,83.7,81.7,15.9,0.3
2962,609705,FENGER HS,Network 17,2019-2020,EOY,39.7,36.6,11.2,2.7
2964,609705,FENGER HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
2966,609705,FENGER HS,Network 17,2021-2022,EOY,30.1,7.2,23.3,0.0
3025,609708,FOREMAN HS,Network 1,2013-2014,EOY,135.2,23.3,19.3,17.3
3027,609708,FOREMAN HS,Network 1,2014-2015,EOY,76.6,21.9,16.6,9.2
3029,609708,FOREMAN HS,Network 3,2015-2016,EOY,70.4,21.1,13.7,5.9
3031,609708,FOREMAN HS,Network 3,2016-2017,EOY,76.0,51.0,20.5,4.2
3033,609708,FOREMAN HS,Network 3,2017-2018,EOY,57.8,49.0,18.3,0.3
3035,609708,FOREMAN HS,Network 14,2018-2019,EOY,82.4,51.4,14.7,1.0
3037,609708,FOREMAN HS,Network 14,2019-2020,EOY,17.3,0.0,12.0,1.4
3039,609708,FOREMAN HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,16.3
3041,609708,FOREMAN HS,Network 14,2021-2022,EOY,5.7,0.0,14.9,0.2
3164,609709,GAGE PARK HS,Network 8,2013-2014,EOY,50.5,2.0,24.7,2.8
3166,609709,GAGE PARK HS,Network 8,2014-2015,EOY,35.0,11.0,13.8,3.1
3168,609709,GAGE PARK HS,Network 8,2015-2016,EOY,52.2,26.0,7.3,1.3
3170,609709,GAGE PARK HS,Network 8,2016-2017,EOY,61.7,31.3,8.2,1.5
3172,609709,GAGE PARK HS,Network 8,2017-2018,EOY,34.2,22.3,11.4,1.4
3174,609709,GAGE PARK HS,Network 16,2018-2019,EOY,25.6,11.0,8.0,3.2
3176,609709,GAGE PARK HS,Network 16,2019-2020,EOY,31.5,1.0,5.1,6.5
3178,609709,GAGE PARK HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,25.0
3180,609709,GAGE PARK HS,Network 16,2021-2022,EOY,26.2,3.1,4.8,0.0
3292,609693,GEORGE WESTINGHOUSE HS,Network 5,2013-2014,EOY,73.6,0.6,20.8,0.0
3294,609693,GEORGE WESTINGHOUSE HS,Network 5,2014-2015,EOY,39.5,0.0,7.8,0.3
3331,610558,GOODE ACAD HS,Network 10,2013-2014,EOY,92.5,19.7,27.6,1.6
